
The number of tuples used in the solution set is: 625 out of the 816 possible ones. They are:

tuple		times seen
-----		----------
(7, 12, 17)	:1
(6, 15, 16)	:1
(1, 6, 17)	:1
(4, 8, 10)	:1
(9, 11, 18)	:1
(3, 5, 9)	:1
(8, 11, 18)	:1
(2, 10, 14)	:1
(5, 7, 15)	:1
(8, 15, 17)	:1
(3, 9, 13)	:1
(3, 9, 17)	:1
(4, 15, 16)	:1
(2, 11, 12)	:1
(7, 12, 18)	:1
(4, 5, 6)	:1
(5, 8, 10)	:1
(1, 5, 12)	:1
(1, 2, 12)	:1
(7, 13, 18)	:1
(9, 12, 13)	:1
(3, 7, 12)	:1
(2, 14, 16)	:1
(5, 10, 18)	:1
(1, 12, 16)	:1
(5, 8, 12)	:1
(4, 6, 13)	:1
(10, 13, 17)	:1
(3, 8, 17)	:1
(6, 10, 11)	:1
(3, 7, 18)	:1
(7, 11, 17)	:1
(6, 11, 15)	:1
(2, 3, 6)	:1
(1, 4, 5)	:1
(11, 12, 13)	:1
(4, 5, 16)	:1
(2, 15, 18)	:1
(6, 14, 16)	:1
(1, 5, 10)	:1
(2, 8, 12)	:1
(5, 9, 15)	:1
(1, 2, 14)	:1
(6, 7, 10)	:1
(9, 13, 17)	:1
(7, 8, 14)	:1
(7, 13, 17)	:1
(7, 10, 11)	:1
(10, 11, 13)	:1
(2, 3, 15)	:1
(4, 14, 17)	:1
(4, 13, 18)	:1
(5, 12, 18)	:1
(2, 7, 18)	:1
(8, 10, 13)	:1
(9, 10, 16)	:1
(1, 12, 17)	:1
(3, 5, 15)	:1
(1, 7, 16)	:1
(1, 9, 15)	:1
(5, 14, 16)	:1
(8, 10, 11)	:1
(6, 10, 15)	:1
(4, 5, 17)	:1
(3, 6, 8)	:1
(3, 11, 18)	:1
(2, 6, 8)	:1
(6, 7, 12)	:1
(10, 13, 14)	:1
(2, 13, 14)	:1
(4, 11, 15)	:1
(2, 11, 14)	:1
(16, 17, 18)	:1
(1, 4, 12)	:1
(8, 12, 16)	:1
(10, 12, 16)	:1
(3, 15, 16)	:1
(1, 7, 9)	:1
(1, 5, 15)	:1
(7, 9, 10)	:1
(7, 10, 12)	:1
(11, 15, 18)	:1
(9, 10, 14)	:1
(9, 11, 15)	:1
(11, 16, 18)	:1
(6, 7, 18)	:1
